,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
379,cap malheureux,90,MU,1583762377,88,-19.98,57.61,78.8,14.99
380,surgut,0,RU,1583762185,67,61.25,73.42,17.6,11.18
381,sao miguel do araguaia,72,BR,1583762377,74,-13.28,-50.16,84.99,1.34
382,jurado,7,CO,1583762377,80,7.11,-77.76,77.43,3.22
383,port hardy,20,CA,1583762377,92,50.7,-127.42,26.6,2.24
384,soroti,100,UG,1583762377,70,1.71,33.61,77.25,3.78
385,general pico,46,AR,1583762378,28,-35.66,-63.76,80.13,14.83
386,krutinka,100,RU,1583762378,93,56.01,71.51,29.91,11.45
387,ukiah,75,US,1583762378,75,39.15,-123.21,45.0,2.84
388,puerto madryn,0,AR,1583762333,27,-42.77,-65.04,75.99,19.57
389,punta cardon,100,VE,1583762379,63,11.66,-70.22,82.11,24.34
390,daitari,0,IN,1583762379,59,21.1,85.75,76.53,4.18
391,san luis,9,AR,1583762327,26,-33.3,-66.34,94.89,18.92
392,akureyri,40,IS,1583762380,53,65.68,-18.09,23.0,3.36
393,lantawan,20,PH,1583762380,78,10.62,123.98,80.6,4.7
394,zinder,35,NE,1583762380,5,13.81,8.99,100.4,4.7
395,arica,100,CL,1583762325,64,-18.48,-70.3,73.4,5.82
396,bulgan,28,MN,1583762380,79,48.81,103.53,5.97,5.55
397,samarai,100,PG,1583762381,86,-10.62,150.67,78.51,6.91
398,kuala terengganu,20,MY,1583762381,83,5.33,103.14,82.4,4.25
399,whitecourt,5,CA,1583762359,78,54.15,-115.69,8.6,6.93
400,itaueira,99,BR,1583762381,81,-7.6,-43.03,83.19,5.03
401,zamora,75,EC,1583762382,82,-4.07,-78.96,64.4,3.36
402,qasigiannguit,75,GL,1583762382,46,68.82,-51.19,6.8,4.7
403,ishigaki,4,JP,1583762382,90,24.34,124.16,75.63,11.65
404,porirua,100,NZ,1583762382,82,-41.13,174.85,64.4,18.34
405,yushan,75,CN,1583762383,100,31.38,120.95,53.01,13.42
406,mareeba,75,AU,1583762383,88,-17.0,145.43,80.6,2.24
407,badarpur,0,IN,1583762383,52,24.9,92.6,67.53,4.03
408,labytnangi,100,RU,1583762383,92,66.66,66.42,18.21,6.91
409,nha trang,20,VN,1583762339,88,12.25,109.18,82.4,4.7
410,guangyuan,100,CN,1583762384,52,32.44,105.82,55.0,4.56
411,coquimbo,90,CL,1583762384,93,-29.95,-71.34,60.8,2.24
412,sokoni,40,TZ,1583762384,70,-6.43,39.55,87.8,4.7
413,hagerstown,1,US,1583762271,52,39.64,-77.72,59.0,7.74
414,louga,100,RU,1583762385,77,58.74,29.85,40.35,4.74
415,pontes e lacerda,60,BR,1583762269,48,-15.23,-59.34,91.11,3.38
416,san patricio,100,MX,1583762385,73,19.22,-104.7,76.71,6.87
417,portland,90,US,1583762241,86,45.52,-122.68,34.0,4.7
418,ketchikan,90,US,1583762385,86,55.34,-131.65,37.4,11.41
419,sistranda,75,NO,1583762386,86,63.73,8.83,41.0,20.8
420,nelson bay,40,AU,1583762386,72,-32.72,152.15,69.01,6.93
421,clyde river,1,CA,1583762386,67,70.47,-68.59,-25.6,14.99
422,vanderhoof,44,CA,1583762386,91,54.02,-124.02,13.89,0.94
423,roald,75,NO,1583762386,86,62.58,6.13,41.0,13.87
424,tura,0,IN,1583762387,38,25.52,90.22,68.43,2.44
425,coihaique,20,CL,1583762387,87,-45.58,-72.07,51.8,4.7
426,pangnirtung,90,CA,1583762387,75,66.15,-65.71,-14.8,12.75
427,pundaguitan,30,PH,1583762387,79,6.37,126.17,79.41,5.01
428,marienburg,40,PL,1583762387,70,54.04,19.03,46.99,10.29
429,ahipara,100,NZ,1583762388,100,-35.17,173.17,62.01,13.85
430,gurupi,80,BR,1583762323,67,-11.73,-49.07,84.63,7.05
431,nuevo progreso,70,MX,1583762389,90,23.17,-97.95,69.01,1.99
432,tautira,100,PF,1583762389,83,-17.73,-149.15,78.8,2.24
433,mahibadhoo,6,MV,1583762389,65,3.78,72.97,83.91,7.25
434,dunedin,100,NZ,1583762389,83,-45.87,170.5,57.99,9.28
435,hervey bay,90,AU,1583762389,88,-25.3,152.85,72.0,12.75
436,tiznit,0,MA,1583762390,11,29.58,-9.5,76.17,11.39
437,staryy nadym,0,RU,1583762390,96,65.61,72.68,-3.39,3.06
438,tukums,75,LV,1583762390,52,56.97,23.16,46.4,14.99
439,kitimat,90,CA,1583762390,83,54.05,-128.65,32.0,6.93
440,mandalgovi,0,MN,1583762390,78,45.76,106.27,9.93,9.35
441,arman,100,RU,1583762391,95,59.7,150.17,16.95,10.87
442,vila franca do campo,75,PT,1583762391,88,37.72,-25.43,62.6,9.17
443,khani,0,GE,1583762391,18,41.96,42.96,80.6,25.28
444,arlit,3,NE,1583762391,3,18.74,7.39,97.41,11.99
445,namibe,40,AO,1583762391,74,-15.2,12.15,82.4,11.41
446,filingue,33,NE,1583762392,4,14.35,3.32,102.09,8.46
447,iyo,90,JP,1583762392,87,33.75,132.7,54.0,5.82
448,ordu,82,TR,1583762308,82,40.91,37.68,57.2,9.17
449,tazovskiy,51,RU,1583762392,88,67.47,78.7,-17.07,1.77
450,kashi,100,CN,1583762392,24,39.45,75.98,44.6,4.47
451,leningradskiy,66,RU,1583762393,79,69.38,178.42,-13.65,8.48
452,bayir,75,TR,1583762393,37,37.27,28.22,71.6,17.22
453,sharjah,0,AE,1583762393,53,25.36,55.4,77.0,13.87
454,gat,63,IL,1583762102,21,31.61,34.76,84.2,8.05
455,oktyabrskiy,100,RU,1583762394,96,54.48,53.47,32.97,10.8
456,west wendover,1,US,1583762394,64,40.74,-114.07,37.4,5.12
457,iquique,100,CL,1583762394,69,-20.22,-70.14,73.4,12.75
458,paita,40,PE,1583762394,100,-5.09,-81.11,62.6,14.99
459,livingstone,87,ZM,1583762394,58,-17.84,25.85,79.77,5.59
460,punta alta,35,AR,1583762395,50,-38.88,-62.07,70.95,14.41
461,kisangani,70,CD,1583762395,45,0.52,25.2,90.21,2.55
462,szilvasvarad,23,HU,1583762395,60,48.1,20.4,45.03,2.3
463,port moresby,90,PG,1583762395,94,-9.44,147.18,78.8,5.82
464,vaitape,14,PF,1583762395,70,-16.52,-151.75,82.47,4.09
465,atbasar,94,KZ,1583762404,85,51.8,68.33,21.27,9.98
466,buala,100,SB,1583762405,88,-8.14,159.59,80.31,14.7
467,omsukchan,100,RU,1583762406,96,62.53,155.8,-1.59,6.26
468,narsaq,75,GL,1583762406,42,60.92,-46.05,28.4,1.12
469,reconquista,13,AR,1583762406,20,-29.15,-59.65,97.59,6.64
470,pampa,40,US,1583762177,76,35.54,-100.96,50.0,18.34
471,mihalaseni,20,RO,1583762407,81,47.88,27.07,50.0,4.7
472,grindavik,75,IS,1583762407,80,63.84,-22.43,32.0,21.92
473,lavrentiya,0,RU,1583762408,94,65.58,-171.0,-13.83,1.12
474,lingyuan,19,CN,1583762408,66,41.24,119.4,27.93,2.37
475,mecca,0,SA,1583762409,32,21.43,39.83,84.09,13.18
476,hasanabad,0,IR,1583762409,32,36.55,61.05,55.4,4.7
477,nalut,0,LY,1583762409,21,30.33,10.85,61.95,12.26
478,carutapera,100,BR,1583762409,94,-1.2,-46.02,76.35,4.14
479,brae,40,GB,1583762410,81,60.4,-1.35,46.4,8.05
480,ovsyanka,40,RU,1583762410,73,55.96,92.55,26.6,13.42
481,henties bay,0,NA,1583762411,85,-22.12,14.28,66.99,5.01
482,camopi,64,GF,1583762411,55,3.17,-52.32,83.19,5.35
483,ransang,0,PH,1583762411,76,8.96,117.58,80.85,1.32
484,guerrero negro,100,MX,1583762411,61,27.98,-114.06,59.07,2.68
485,klaksvik,100,FO,1583762412,74,62.23,-6.59,37.4,6.93
486,makubetsu,100,JP,1583762412,92,45.37,141.82,34.23,9.37
487,tocopilla,100,CL,1583762412,35,-22.09,-70.2,74.73,6.17
488,astoria,1,US,1583762412,64,46.19,-123.83,37.99,3.36
489,kalininskaya,82,RU,1583762413,24,45.48,38.66,78.8,11.18
490,amahai,43,ID,1583762413,76,-3.33,128.92,82.29,3.67
491,hadejia,17,NG,1583762413,5,12.45,10.04,102.27,7.72
492,gourdon,98,FR,1583762402,90,44.75,1.5,53.01,1.01
493,tezu,3,IN,1583762413,71,27.92,96.17,62.13,4.14
494,bara,0,NG,1583762414,5,10.37,10.73,102.45,6.31
495,zhanaozen,39,KZ,1583762414,22,43.3,52.8,46.65,9.1
496,mumford,95,GH,1583762414,52,5.26,-0.76,91.65,8.66
497,hibbing,90,US,1583762414,73,47.43,-92.94,24.8,6.93
498,sorland,75,NO,1583762415,80,67.67,12.69,41.0,26.4
499,kandrian,100,PG,1583762415,94,-6.22,149.55,75.99,6.29
500,north bend,40,US,1583762415,100,43.41,-124.22,39.0,6.93
501,acheng,100,CN,1583762416,79,45.55,126.98,23.0,2.24
502,ormara,0,PK,1583762416,64,25.21,64.64,72.75,11.5
503,rionero in vulture,80,IT,1583762416,35,40.93,15.67,55.4,5.82
504,talara,40,PE,1583762416,100,-4.58,-81.27,62.6,14.99
505,houston,90,US,1583762401,88,29.76,-95.36,66.0,8.05
506,kuytun,100,RU,1583762417,81,54.34,101.5,19.65,6.24
507,saint-francois,75,FR,1583762417,57,46.42,3.91,51.8,12.75
508,ouidah,40,BJ,1583762417,70,6.36,2.09,89.6,12.75
509,mariinskiy posad,0,RU,1583762418,86,56.12,47.72,37.4,8.95
510,ambon,40,ID,1583762418,94,-3.7,128.18,80.6,8.05
511,baracoa,100,CU,1583762418,75,20.35,-74.5,74.73,26.89
512,trinidad,40,BO,1583762418,79,-14.83,-64.9,86.0,6.93
513,talca,24,CL,1583762419,48,-35.43,-71.67,77.0,5.82
514,te anau,100,NZ,1583762419,87,-45.42,167.72,53.85,0.22
515,vermilion,75,US,1583762419,61,40.17,-87.75,54.0,9.17
516,gerash,20,IR,1583762420,33,27.67,54.14,71.6,13.62
517,constantine,40,DZ,1583762214,47,36.37,6.61,59.0,14.99
518,matagami,90,CA,1583762420,84,49.75,-77.63,5.0,6.93
519,willmar,90,US,1583762421,85,45.12,-95.04,30.2,13.87
520,araouane,99,ML,1583762421,6,18.9,-3.53,91.47,15.23
521,oussouye,73,SN,1583762421,32,12.48,-16.55,95.0,4.7
522,namatanai,100,PG,1583762421,85,-3.67,152.43,79.59,4.05
523,lundazi,87,ZM,1583762422,82,-12.29,33.18,75.63,4.14
524,tiarei,100,PF,1583762422,83,-17.53,-149.33,78.8,2.24
525,houma,1,US,1583762202,82,29.6,-90.72,66.99,8.05
526,diamantino,100,BR,1583762422,61,-14.41,-56.45,86.43,3.29
527,salinas,1,US,1583762422,87,36.68,-121.66,50.0,6.33
528,sinnamary,67,GF,1583762423,70,5.38,-52.95,80.49,15.52
529,yar-sale,61,RU,1583762423,94,66.83,70.83,3.27,8.41
530,nabire,100,ID,1583762423,98,-3.37,135.48,72.75,1.72
531,yabrud,40,SY,1583762423,30,33.97,36.66,71.6,8.05
532,port lincoln,100,AU,1583762424,79,-34.73,135.87,62.13,12.71
533,patrocinio,97,BR,1583762195,70,-18.94,-46.99,81.0,1.01
534,faya,40,SA,1583762424,38,18.39,42.45,73.4,12.75
535,milove,100,UA,1583762425,57,49.38,40.13,59.61,5.5
536,bastia,75,FR,1583762425,62,42.67,9.33,59.0,10.29
537,hue,20,VN,1583762425,83,16.47,107.6,82.4,2.24
538,mbandaka,98,CD,1583762425,46,0.05,18.26,91.83,2.95
539,manzanillo,27,CU,1583762426,50,20.34,-77.12,80.13,18.03
540,ulaangom,100,MN,1583762426,98,49.98,92.07,-3.21,1.63
541,kudowa-zdroj,100,PL,1583762426,78,50.44,16.24,51.01,2.24
542,kalemie,63,CD,1583762426,93,-5.95,29.19,72.57,6.24
